Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100323,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.095089,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.088110,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.090291,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.092908,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098578,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103376,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107739,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113409,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.123877,55574400
